Year_Sampled,Species,OsHV_var,Paper,Title
2010,Magallana gigas,OsHV-1 μVar,Dundon et al. 2011,Detection of Type 1 Ostreid Herpes variant (OsHV-1 μVar) with no associated mortality in French-origin Pacific cupped oyster Crassostrea gigas farmed in Italy
2010,Magallana gigas,OsHV-1 μVar,Mortensen et al. 2016,Summer mortalities and detection of ostreid herpesvirus microvariant in Pacific oyster Crassostrea gigas in Sweden and Norway
2010,Magallana gigas,OsHV-1,Roque et al. 2012,First report of OsHV-1 microvar in Pacific oyster (Crassostrea gigas) cultured in Spain
2010,Magallana gigas,OsHV-1 μVar,Morrissey et al. 2016,An investigation of ostreid herpes virus microvariants found in Crassostrea gigas oyster producing bays in Ireland
2011,Chlamys farreri,OsHV-1,Bai et al. 2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China
2011,Crassostrea hongkongensis,OsHV-1,Bai et al. 2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China
2011,Magallana gigas,OsHV-1,Serraca et al. 2016,"Mortality and ostreid herpesvirus 1 infection in the pacific oyster Crassostrea gigas in the Gulf of La Spezia, Italy"
2011,Crassostrea angulata,OsHV-1,Batista et al. 2015,Sequence variation in ostreid herpesvirus 1 microvar isolates detected in dying and asymptomatic Crassostrea angulata adults in the Iberian Peninsula: Insights into viral origin and spread
2011,Octopus vulgaris,OsHV-1 μVar,Prado-Alvarez et al. 2021,First detection of OsHV-1 in the cephalopod Octopus vulgaris. Is the octopus a dead-end for OsHV-1?
2011,Saccostrea glomerata,OsHV-1 μVar,Jenkins et al. 2013,Identification and characterisation of an ostreid herpesvirus-1 microvariant (OsHV-1 µ-var) in Crassostrea gigas (Pacific oysters) in Australia
2011,Magallana gigas,OsHV-1,Shimahara et al. 2012,Surveillance of Type 1 Ostreid Herpesvirus (OsHV-1) Variants in Japan
